V(V)	I(A)	dV	dI
0	2.44	0.004	0.538
0.023	2.29	0.004	0.508
0.062	1.99	0.004	0.448
0.083	1.81	0.004	0.412
0.100	1.69	0.004	0.388
0.129	1.51	0.004	0.352
0.171	1.23	0.005	0.296
0.219	0.97	0.005	0.244
0.248	0.82	0.005	0.214
0.510	0.08	0.006	0.066
0.768	-0.13	0.007	0.024
1.000	-0.19	0.008	0.012
1.269	-0.22	0.009	0.006
1.525	-0.23	0.011	0.004
1.765	-0.23	0.012	0.004
1.900	-0.24	0.013	0.002
2.224	-0.26	0.014	-0.002
2.495	-0.29	0.015	-0.002


